timestamp,frame,pair,distance_px,persons_in_frame
2026-04-30T22:45:28,5,"(0, 1)",58,2
2026-04-30T22:45:31,12,"(0, 1)",74,2
2026-04-30T22:45:32,13,"(0, 1)",39,2
2026-04-30T22:45:46,38,"(2, 3)",17,4
2026-04-30T22:46:46,129,"(1, 2)",35,3
2026-04-30T22:47:36,196,"(0, 1)",142,2
2026-04-30T22:47:38,198,"(0, 1)",96,3
2026-04-30T22:47:38,198,"(0, 2)",116,3
2026-04-30T22:47:38,198,"(1, 2)",60,3
2026-04-30T22:47:38,199,"(0, 1)",73,3
2026-04-30T22:47:38,199,"(0, 2)",104,3
2026-04-30T22:47:38,199,"(1, 2)",35,3
2026-04-30T22:48:15,248,"(1, 2)",3,3
2026-04-30T22:54:10,62,"(0, 1)",274,2
2026-04-30T22:54:13,65,"(0, 1)",199,2
2026-04-30T22:54:14,66,"(0, 1)",199,2
2026-04-30T22:54:14,67,"(0, 1)",193,2
2026-04-30T22:54:27,84,"(0, 1)",265,2
2026-04-30T22:54:31,88,"(0, 1)",294,2
2026-04-30T22:54:36,95,"(0, 1)",290,2
2026-04-30T23:03:10,163,"(0, 1)",109,3
2026-04-30T23:03:10,163,"(0, 2)",241,3
2026-04-30T23:03:10,163,"(1, 2)",137,3
2026-04-30T23:03:11,164,"(0, 1)",183,2
2026-04-30T23:03:12,165,"(0, 1)",177,2
2026-04-30T23:03:13,166,"(0, 1)",192,2
2026-04-30T23:03:14,167,"(0, 1)",191,3
2026-04-30T23:03:15,168,"(0, 1)",196,2
2026-04-30T23:03:16,169,"(0, 1)",187,2
2026-04-30T23:03:17,170,"(0, 1)",188,2
2026-04-30T23:03:18,171,"(0, 1)",154,3
